Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Sum
 01/06  16:00:00,1374.669274,101.3578873,495.1074825,0,243.2593065,302.6124365,485.4866152,393.3657405,56.64669961,35.47417511,3487.979618
 01/06  17:00:00,1384.524438,101.5367122,494.3567618,0,243.2593065,310.1097119,505.2244061,393.7635949,84.97004941,26.49076183,3544.235743
 01/06  18:00:00,1396.938213,101.7994047,494.8370121,0,243.2593065,310.1097119,496.9154155,394.4512542,84.97004941,17.49411182,3540.774479
 01/06  19:00:00,1123.496468,94.71476999,494.6071923,0,166.9389264,199.1109338,493.8003752,391.3892905,84.97004941,17.44103535,3066.469042
 01/06  20:00:00,1114.94541,94.71476999,493.8398766,0,166.9389264,191.6136585,470.6942748,396.6089372,56.64669961,17.43863795,3003.441191
 01/06  21:00:00,981.659194,94.71476999,494.0063837,0,100.1506573,124.5586935,509.9700045,435.8869712,56.64669961,17.43633376,2815.029708
 01/06  22:00:00,943.2967115,94.71476999,494.7531324,0,100.1506573,124.5586935,492.8669021,441.6726913,42.48502471,8.709186079,2743.207769
 01/06  23:00:00,876.4209107,94.71476999,495.00707,0,46.09303362,124.5586935,504.6304945,458.9151581,28.3233498,17.39198657,2646.055467
 01/06  24:00:00,876.8156538,94.71476999,494.5965276,0,46.09303362,124.5586935,486.7272645,463.858737,14.1616749,8.706852643,2610.233208
 01/07  01:00:00,863.18445,94.71476999,493.7493519,0,46.09303362,113.3127805,491.331236,468.273763,5.664669961,17.39280305,2593.716858
 01/07  02:00:00,862.792457,94.71476999,493.5487894,0,46.09303362,113.3127805,486.8214339,472.4496436,5.664669961,8.707120296,2584.104698
 01/07  03:00:00,863.6175272,94.71476999,494.1199635,0,46.09303362,113.3127805,497.8981698,474.8416996,5.664669961,17.39180022,2607.654414
 01/07  04:00:00,865.1178596,94.71476999,495.3006802,0,46.09303362,113.3127805,492.9413662,478.5693452,5.664669961,8.707351038,2600.421856
 01/07  05:00:00,875.7002305,94.71476999,495.6901855,0,55.62514452,113.3127805,494.1906989,471.133808,5.664669961,17.39222095,2623.424509
 01/07  06:00:00,875.7754494,94.71476999,495.795446,0,55.62514452,113.3127805,495.5900638,472.7208107,14.1616749,8.707578233,2626.403718
 01/07  07:00:00,949.4560434,94.71476999,496.1103144,0,65.15725541,176.8892702,458.4059837,412.6899955,28.3233498,17.39263835,2699.139621
 01/07  08:00:00,1056.6015,95.00135687,496.6576909,0,109.6827682,220.9681645,698.4812284,647.2910352,42.48502471,8.705168426,3375.873937
 01/07  09:00:00,1067.926329,95.00237218,497.4656978,0,109.6827682,220.9681645,617.260544,543.1385058,56.64669961,17.47533862,3225.56642
 01/07  10:00:00,1177.45303,95.51246075,498.7151887,0,131.9455246,266.9558176,576.1277816,507.3256189,42.48502471,26.31713801,3322.837584
 01/07  11:00:00,1185.385118,95.65856789,499.0929813,0,131.9455246,274.4530929,586.683235,489.4462474,70.80837451,26.42861309,3359.901755
 01/07  12:00:00,1185.407829,95.71828992,498.5372175,0,131.9455246,274.4530929,579.7582745,482.5251036,70.80837451,26.42479636,3345.578503
 01/07  13:00:00,1150.459925,95.76393257,496.4567408,0,131.9455246,274.4530929,573.9838471,476.7547899,70.80837451,26.42068275,3297.04691
 01/07  14:00:00,1138.869933,95.80740646,493.2417976,0,131.9455246,266.9558176,555.9119319,472.8434478,56.64669961,26.42178443,3238.644342
 01/07  15:00:00,1135.237969,95.8559361,490.0657081,0,131.9455246,266.9558176,539.6283698,470.721414,42.48502471,26.42193109,3199.317695
 01/07  16:00:00,1056.39696,94.71476999,488.6410544,0,109.6827682,212.5458892,451.7173036,368.6479687,56.64669961,26.42263528,2865.416049
 01/07  17:00:00,1067.99658,94.71476999,488.7250186,0,109.6827682,220.0431645,485.0890208,373.7006425,84.97004941,26.41832879,2951.340343
 01/07  18:00:00,1035.962501,94.71476999,487.9167522,0,109.6827682,220.0431645,488.6247163,377.3549293,84.97004941,26.29973751,2925.569389
 01/07  19:00:00,995.105981,94.71476999,486.2271042,0,100.1506573,199.1109338,504.5307486,410.8549214,84.97004941,8.705777875,2884.370944
 01/07  20:00:00,987.1275152,94.71476999,485.1427604,0,100.1506573,191.6136585,488.3913917,414.3525817,56.64669961,17.39211045,2835.532145
 01/07  21:00:00,873.8818884,94.71476999,483.4980161,0,55.62514452,124.5586935,522.2181072,456.8654498,56.64669961,8.705957821,2676.714727
 01/07  22:00:00,873.194857,94.71476999,480.7692308,0,55.62514452,124.5586935,521.76062,461.883407,42.48502471,17.39218831,2672.383936
 01/07  23:00:00,871.4502531,94.71476999,477.0334508,0,46.09303362,124.5586935,513.03673,476.0072153,28.3233498,8.706164957,2639.923661
 01/07  24:00:00,874.8406376,94.71476999,474.7126844,0,46.09303362,124.5586935,511.0570119,479.5027285,14.1616749,17.3926085,2637.033843
 01/08  01:00:00,845.4574119,94.71476999,473.9823238,0,34.96165543,113.3127805,500.5952054,486.2241155,5.664669961,8.706419971,2563.619352
 01/08  02:00:00,818.4158033,94.71476999,456.3273764,0,34.96165543,113.3127805,516.0060057,492.9482049,5.664669961,17.39313086,2549.744397
 01/08  03:00:00,794.2537033,94.71476999,436.5708923,0,34.96165543,113.3127805,516.057388,501.6860588,5.664669961,8.70665922,2505.928578
 01/08  04:00:00,779.9710115,94.71476999,420.2009433,0,34.96165543,113.3127805,531.5047338,508.4464838,5.664669961,17.39358007,2506.170628
 01/08  05:00:00,783.9928623,94.71476999,416.733325,0,44.49376632,113.3127805,526.0700671,503.0132669,5.664669961,17.39213024,2505.387638
 01/08  06:00:00,776.1267844,94.71476999,403.6775879,0,44.49376632,113.3127805,531.9286326,509.0608185,14.1616749,8.706139248,2496.182954
 01/08  07:00:00,836.0733459,94.71476999,393.0041796,0,54.02587722,176.8892702,495.0800541,449.364133,28.3233498,17.39257133,2544.867551
 01/08  08:00:00,836.7150338,94.71476999,405.5267774,0,54.02587722,184.3865456,491.2972224,440.105829,42.48502471,8.706368617,2557.963449
 01/08  09:00:00,961.0378919,94.71476999,450.052807,0,65.15725541,220.0431645,483.9989088,409.8911208,56.64669961,17.46108834,2759.003706
 01/08  10:00:00,984.8050418,94.71476999,479.909206,0,65.15725541,212.5458892,459.4071019,390.6313939,42.48502471,26.29068329,2755.946366
 01/08  11:00:00,1005.093604,94.71476999,487.7010561,0,65.15725541,220.0431645,475.1804244,377.9734237,70.80837451,26.39862617,2823.070699
