Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Sum
 01/07  03:00:00,561.9504869,94.81857558,80.30419611,0,46.09303362,113.3127805,860.4720284,837.2866496,5.664669961,17.52070883,2617.423129
 01/07  04:00:00,552.8057743,94.81857558,71.19720038,0,46.09303362,113.3127805,881.0022298,857.8191111,5.664669961,17.51844867,2640.231824
 01/07  05:00:00,560.6720058,94.81857558,71.04967624,0,55.62514452,113.3127805,879.9642887,848.0302438,5.664669961,26.26937495,2655.40676
 01/07  06:00:00,552.3547001,94.81857558,64.87507172,0,55.62514452,113.3127805,893.0258622,861.3449287,14.1616749,17.51925855,2667.037997
 01/07  07:00:00,616.8662221,94.81857558,60.43898737,0,65.15725541,176.8892702,866.154089,811.5624543,28.3233498,26.26828491,2746.478489
 01/07  08:00:00,740.9983004,95.18806362,60.24722065,0,109.6827682,220.9681645,1178.787311,1118.782371,42.48502471,17.51991538,3584.65914
 01/07  09:00:00,751.8627804,95.18047554,60.4563322,0,109.6827682,220.9681645,982.4799501,899.3664458,56.64669961,26.46680478,3203.110421
 01/07  10:00:00,848.9289,95.60877881,52.99679884,0,131.9455246,266.9558176,966.6459682,888.6216444,42.48502471,35.53929908,3329.727756
 01/07  11:00:00,832.7824682,95.64206145,41.97727416,0,131.9455246,274.4530929,1050.503292,934.9750326,70.80837451,44.71988487,3477.807005
 01/07  12:00:00,837.1408618,95.65701385,47.42027535,0,131.9455246,274.4530929,1005.671976,890.1419079,70.80837451,44.72169314,3397.96072
 01/07  13:00:00,815.2950645,95.66680212,56.73630566,0,131.9455246,274.4530929,950.2124344,834.6965496,70.80837451,44.7075103,3274.521659
 01/07  14:00:00,805.4438841,95.67438413,55.2935825,0,131.9455246,266.9558176,939.1455469,846.7384404,56.64669961,35.76040688,3233.604287
 01/07  15:00:00,801.7486393,95.68039119,53.10842664,0,131.9455246,266.9558176,944.6318593,857.4494335,42.48502471,44.69740109,3238.702518
 01/07  16:00:00,724.0480761,94.81857558,49.93371532,0,109.6827682,212.5458892,897.3044162,795.9585885,56.64669961,44.69912813,2985.637857
 01/07  17:00:00,737.8245574,94.81857558,44.48813582,0,109.6827682,220.0431645,959.1398161,829.4633694,84.97004941,44.70639723,3125.136834
 01/07  18:00:00,692.3328188,94.81857558,41.98385832,0,109.6827682,220.0431645,947.7911417,827.3352998,84.97004941,35.4857925,3054.443469
 01/07  19:00:00,659.0349112,94.81857558,45.54857465,0,100.1506573,199.1109338,920.3965522,817.9067773,84.97004941,17.51972557,2939.456757
 01/07  20:00:00,650.104651,94.81857558,43.83808349,0,100.1506573,191.6136585,899.1154697,824.9520844,56.64669961,17.5166857,2878.756565
 01/07  21:00:00,541.1468841,94.81857558,45.23947069,0,55.62514452,124.5586935,935.9905249,853.0770555,56.64669961,26.26676977,2733.369818
 01/07  22:00:00,540.0085099,94.81857558,47.14827833,0,55.62514452,124.5586935,909.0945336,849.0895161,42.48502471,17.51999284,2680.348269
 01/07  23:00:00,526.1462172,94.81857558,43.63829675,0,46.09303362,124.5586935,933.0450407,887.2032235,28.3233498,17.51846739,2701.344898
 01/07  24:00:00,517.0220539,94.81857558,27.73660258,0,46.09303362,124.5586935,1029.190516,988.7594348,14.1616749,26.26940646,2868.609991
 01/08  01:00:00,496.1157955,94.81857558,26.41749099,0,34.96165543,113.3127805,1011.571218,988.3872683,5.664669961,17.51927958,2788.768734
 01/08  02:00:00,496.3241723,94.81857558,30.24756884,0,34.96165543,113.3127805,994.9774267,963.0444399,5.664669961,26.26831681,2759.619606
